2018 Jul 30 00:43:38,405: INFO : Jumo Loan Processor | main |  Added new row with values : [  [Network 2, Apr, Loan Product 1, 1, 5671.0] ]
2018 Jul 30 00:43:38,405: INFO : Jumo Loan Processor | main |  Added new row with values : [  [Network 1, Apr, Loan Product 2, 1, 1801.0] ]
2018 Jul 30 00:43:38,406: INFO : Jumo Loan Processor | main |  Added new row with values : [  [Network 3, Apr, Loan Product 3, 1, 1928.0] ]
2018 Jul 30 00:43:38,406: INFO : Jumo Loan Processor | main |  Added new row with values : [  [Network 3, Mar, Loan Product 2, 2, 5182.0] ]
2018 Jul 30 00:43:38,406: INFO : Jumo Loan Processor | main |  Added new row with values : [  [Network 1, Mar, Loan Product 1, 1, 1000.0] ]
2018 Jul 30 00:43:38,407: INFO : Jumo Loan Processor | main |  Added new row with values : [  [Network 2, Mar, Loan Product 1, 1, 1122.0] ]
2018 Jul 30 00:43:38,407: INFO : Jumo Loan Processor | main |   ############### END PROCESSING ############### 
2018 Jul 30 00:43:41,553: INFO : Jumo Loan Processor | com.loanProcessor.com.utils.Logging | Loggers initialized...
2018 Jul 30 00:43:41,565: INFO :  ############# BEGIN PROCESSIONG ################# : /Users/kamauwamatu/IdeaProjects/CrackJumo/Loans.csv
2018 Jul 30 00:43:41,565: INFO :  Retrieve File Name : /Users/kamauwamatu/IdeaProjects/CrackJumo/Loans.csv
